q2,q3,Q3b,q10,q15,q35_1,q35_2,q35_7a,q35_7b,q35_8,q35_9,q35_10,q36_1,q36c_1,q18,q20,q21,q22_2,q22_4a,q22_4b,q22_5,q22_6,q22_7,q25,q29,q30,q8a_1,q8a_2,q8a_3,q8a_4,q8a_5,q8a_6,q8a_7,q8a_8,q8a_9,q8a_10,q8a_11,q8a_12,q8b_1,q8b_2,q8b_3,q8b_4,q8b_5,q8b_6,q8b_7,q7e_1,q7e_2,q7e_3,q7e_4,q7e_5,q7e_6,q7e_7,q7e_8,q7e_9,q7e_10,q7e_11,q7e_12,q7e_13,q7e_14,q7e_15,q7e_16,q7e_17,q7e_18,q7e_19,q7e_20,q1,FT22,FT19,q50a,q50b,q50c,q50d,q50e,q50f,q22a_1,q22a_2,q22a_3,q22a_4,q22a_5,q22a_6,q22a_7a,q22a_7b,q22a_9,q22a_10,q22a_11,q22a_12,q22a_13,q22a_14,q22a_15,q22a_16,q22a_17,q22a_18,q22a_19,q22a_22,q22a_23,q22a_24a,q22a_24b,q22a_26,q22a_27,q22a_29,q22a_30,q11a,q11b,q11f1,q11f2,q11f3,q11f,q10a_1,q10a_2a,q10a_2b,q10a_2c,q10a_3a,q10a_3b,q10a_4a,q10a_4b,q10a_5,q10a_6a,q10a_6b,q10a_7a,q10a_7b,q10a_8a,q10a_8b,q10a_9a,q10a_9b,q10a_9c,q10a_9d,q10a_10a,q10a_10b,q10a_10c,q10a_11a,q10a_11b,q10a_11c,q10a_11d,q10b_12,q19_1,q19_2,q19_3a,q19_3b,q19_3c,q19_3d,q19_4a,q19_4b,q19_5a,q19_5b,q19_6a,q19_6b,q19_6c,q19_6d,q19_7,q19_8,q19_9a,q19_9b,q19_10,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q13,q13a_1,q13a_2,q13a_3,q13b_1,q13b_2,q13b_3,q13b_4,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6a,q23a_6b,q23a_6c,q23a_7,q23a_7a,q23a_7b,q23a_8a,q23a_8b,q23a_9a,q23a_9b,q23a_10,q23a_11,q23a_12,q5,q6,q33,q24a_1a,q24a_1b,q24a_2,q24a_3a,q24a_3b,q24a_4a,q24a_4b,q24a_5,q24a_6a,q24a_6b,q24a_7,q24a_8a,q24a_8b,q24a_9a,q24a_9b,q24a_10,q26,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q60_8,q60_9,q60_10,Q29B_1,Q29B_2,Q29B_3,Q29B_3a,Q29B_4,Q29B_5,Q29B_6,Q29B_7,q13F,q13G,q13H,q59,family_status,children_under_18,children_in_household,region,profile_education,profile_education_recoded,personal_income,household_income,profile_marital,profile_house_tenure,house_type,weight,Alder01,Alder02,FT19b,FT22b,FT22b2,gender
1,2,2,12,,,6,,6,6,6,6,6,,5,6,5,,,,,,,3,2,12,,,,,,,,,,,,,,,,,,,,6,,6,6,6,,6,,6,6,,6,,,6,,,,6,6,4,9,9,6,6,,6,,6,6,3,3,3,,,,3,3,,3,,,3,,3,,,,3,3,,,3,,3,3,88,88,,,88,88,88,,88,,88,,,88,88,,88,,88,88,,,,88,,,88,,,,88,,88,88,88,,,88,,,88,,88,,,88,,,,,88,,88,88,88,88,88,88,88,,,,,,,,88,88,88,88,,,88,,88,88,,,88,,,,88,,88,99,3,,,,,3,,3,,,3,3,,3,3,,,88,,,,,,,,,,,,3,,3,,,3,,2,,,3,5,2,0,5,3,2,1,13,4,1,4,0.754171053168,1,1,1,1,1,1
9,1,9,14,,,3,,3,3,3,2,3,,3,3,2,,,,,,,3,1,7,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,,,4,1,,2,,1,,,,5,2,3,2,2,6,3,3,,4,,3,3,3,3,4,,,,3,3,,3,,,3,,4,,,,4,3,,,5,,3,2,2,1,,,2,1,2,,3,,3,,,3,1,,3,,3,3,,,,3,,,1,,,,3,,3,2,2,,,2,,,2,,2,,,3,,,,,3,,1,3,2,2,4,3,1,,,,3,2,1,1,2,3,4,3,,,3,,4,88,,,4,,,,3,,2,3,3,,,,,3,,3,,,3,3,,5,2,,,3,,,,,,,,,,,,2,,2,,,2,,2,,,3,3,2,0,1,6,5,1,13,7,1,4,1.10801240808,1,1,2,1,1,1
1,5,5,17,,,1,1,,1,4,1,4,,3,1,1,,,,,,,2,1,10,0,0,5,0,0,6,3,0,10,4,0,0,0,5,0,5,5,10,5,,,,,,,,,,,,,,,,,,,,,2,8,8,3,4,4,,2,,2,2,2,1,2,,4,,3,2,,4,,,,,,1,,1,1,5,,,,1,3,1,2,2,,,1,2,3,,,2,,3,,2,3,,,,,,2,,,,,,,2,,,,2,3,2,2,,,,3,,,,2,,,,,1,,,,1,3,2,2,2,4,1,3,2,2,,,,,2,1,4,3,,5,,,3,,,2,,2,,3,,,1,2,2,1,,1,2,,5,,,,,,5,,4,,,2,11,8,5,8,8,8,7,8,8,10,1,,2,,,1,,,1,,,,5,2,0,4,6,5,12,12,5,3,2,0.739153368433,6,6,2,2,3,2
1,3,3,4,1,3,2,2,,2,4,4,3,,2,4,3,,,,,,,4,2,6,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,4,4,3,1,1,,,,,3,,3,1,2,1,1,3,4,,,5,3,4,2,2,4,,1,1,,2,5,,,5,,,,,,5,1,1,,5,,,5,5,2,2,,3,,2,1,,,,1,,1,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,3,,3,,,,3,1,,,1,,,,,3,,,2,2,2,2,3,4,1,,,,4,1,1,1,2,1,3,1,5,1,,,1,,,,5,,5,5,,,1,5,2,,88,1,3,,1,,,5,,,4,,,1,,3,,,,,,,,,,,1,,1,,,,,5,1,,,,5,2,0,4,3,2,4,8,5,3,2,0.686023904761,4,4,1,1,1,1
1,2,1,14,,,2,3,,2,3,5,3,,2,2,2,,,,,,,1,1,9,,,,,,,,,,,,,,,,,,,,,,3,4,2,,,,1,2,,1,,3,4,,,3,3,2,3,3,3,2,2,,,3,3,5,2,4,2,,2,5,,1,2,,,2,,,,,,4,2,4,,5,,,1,3,1,2,,1,,1,2,,,,1,,1,,1,1,,1,,,,,2,,,2,,,,2,,,2,2,3,,3,,,,3,1,,,1,,,,,1,,,2,2,3,3,2,88,2,,,,2,1,1,1,2,4,1,3,2,4,,,5,,,,2,,5,4,,,2,2,2,,4,1,5,,2,,,1,,,1,,,4,,2,,,,,,,,,,,2,,2,,,,,4,,2,,,7,2,0,5,2,2,5,9,3,1,4,0.754171053168,1,1,2,2,3,1
3,1,1,17,,,2,2,,3,3,2,3,,3,4,2,,,,,,,2,2,9,0,0,8,6,1,8,2,0,6,0,0,0,0,6,4,8,4,4,2,,,,,,,,,,,,,,,,,,,,,1,8,8,3,4,3,,3,,5,4,2,2,2,,5,,5,2,,4,,,,,,1,,2,3,3,,,,1,2,1,2,2,,,1,2,2,,,1,,2,,2,2,,,,,,3,,,,,,,3,,,,2,3,2,2,,,,2,,,,1,,,,,1,,,,2,3,2,2,2,2,2,3,1,1,,,,,4,4,2,3,,2,,,5,,,1,,3,,2,,,1,1,3,1,,2,2,,1,,,,,,2,,1,,,3,4,7,6,8,7,2,5,8,6,9,1,,4,,,1,,,,2,,,2,2,0,1,7,6,6,6,3,3,3,0.717565828023,5,6,2,2,3,2
1,1,1,2,2,1,1,,1,1,1,1,6,,5,3,1,,,,,,,3,1,6,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,,,6,6,6,6,,6,6,,,6,6,4,4,2,6,6,,6,,6,6,6,6,6,,,,6,6,,6,,,6,,6,,,,6,4,,,5,,6,5,3,3,,,3,88,88,,88,,88,,,88,88,,88,,88,88,,,,88,,,88,,,,88,,88,88,88,,,88,,,88,,88,,,88,,,,,88,,88,88,88,88,88,88,88,,,,,,,,88,88,88,88,,,88,,88,88,,,88,,,,88,,88,88,3,,,,,88,,88,,,88,88,,88,88,,,2,,,,,,,,,,,,88,,88,,,88,,,,1,3,3,2,0,1,6,5,7,7,7,2,4,1.10801240808,2,2,1,1,1,1
3,5,8,7,2,1,3,3,,6,6,6,3,,2,3,3,,,,,,,4,2,8,5,99,99,0,88,88,88,0,2,4,7,88,88,88,88,0,88,0,3,,,,,,,,,,,,,,,,,,,,,3,1,9,4,5,4,,6,,6,6,6,6,6,,6,,6,6,,6,,,,,,6,,6,6,6,,,,6,6,88,88,88,,,88,88,88,,,88,,88,,88,88,,,,,,88,,,,,,,88,,,,88,88,88,88,,,,88,,,,88,,,,,88,,,,88,88,88,88,88,88,88,,,,,,,,88,88,88,88,,88,,,88,,,88,,88,,88,,,88,99,4,88,,88,88,,88,,,,,,88,,88,,,88,12,12,12,12,12,12,12,12,12,12,88,,88,,,88,,,1,,,,4,1,2,4,5,4,12,12,4,3,2,0.698460319367,3,3,1,1,1,1
1,3,3,15,,,3,,4,2,2,6,2,2,2,4,2,,,,,,,2,1,8,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,,,4,2,,3,,3,,2,2,,2,3,3,6,9,4,6,4,4,,,3,4,4,6,,,,2,4,,4,,,,6,,2,,,2,4,,,,2,6,2,2,2,,,,2,88,,,88,,88,,88,88,,88,,88,,88,,,,88,,,88,,,,88,1,88,88,,,,88,,88,,,,,,88,88,,,,88,2,2,88,88,3,3,2,,,,2,1,1,88,4,88,88,88,,,,88,88,,88,,88,,,,,88,1,4,3,,,,,1,,,88,,3,,,5,,2,88,3,9,12,11,12,5,5,5,7,5,5,,3,,,4,,2,,1,,,2,3,2,0,3,5,4,4,4,7,1,3,0.696609839493,3,3,1,2,3,1
3,6,1,3,2,3,4,,4,3,4,3,3,,2,5,2,,,,,,,3,1,5,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,2,,2,2,1,,,3,,2,,4,4,2,1,2,4,4,,3,,2,4,2,2,4,,,,2,2,,5,,,4,,3,,,,1,2,,,4,,4,2,2,1,,,1,1,1,,2,,1,,,1,2,,1,,1,2,,,,1,,,1,,,,2,,1,3,3,,,3,,,3,,3,,,3,,,,,3,,2,2,2,3,3,3,1,,,,3,2,1,1,2,2,2,3,,,3,,3,2,,,2,,,,2,,3,2,2,,,,,4,,2,,,4,4,,4,3,,,2,,,,,,,,,,,,1,,1,,,1,,,2,,4,4,1,1,4,4,3,5,10,5,3,2,1.04546322701,3,3,1,1,1,1
1,2,3,14,,,3,,3,3,2,3,3,,2,3,2,,,,,,,3,1,5,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,,,4,2,2,2,,3,,,,4,2,3,3,5,19,4,3,3,4,,,3,4,4,2,,,,4,4,,2,,,,4,,2,,,3,4,,,,1,3,3,1,2,,,,1,2,,,2,,2,,2,2,,2,,2,,2,,,,2,,,2,,,,2,2,3,1,,,,2,,1,,,,,,1,1,,,,1,2,2,2,2,3,88,2,,,,2,3,1,2,2,2,3,2,,,,3,3,,2,,4,,,,,4,2,2,3,,,,,3,,,4,,4,,,2,,4,3,3,8,7,6,5,3,2,4,4,4,7,,3,,,3,,3,,2,,,3,5,2,0,3,6,5,2,3,4,1,4,0.897015603304,1,2,2,2,3,1
3,7,7,17,,,3,4,,2,1,3,1,4,1,5,3,,,,,,,2,1,10,,,,,,,,,,,,,,,,,,,,,,1,4,2,,1,1,1,1,,4,3,,,,,,1,1,2,23,8,5,5,,,2,5,3,3,4,4,,1,3,,2,5,,,5,,,,,,4,5,5,,1,,,2,1,2,1,,2,,2,2,,,,2,,2,,1,1,,2,,,,,3,,,3,,,,3,,,3,2,3,,3,,,,1,3,,,3,,,,,3,,,2,3,3,3,3,3,1,,,,2,1,2,2,5,3,4,1,5,1,,,1,,,,1,,2,2,,,1,4,4,,1,1,1,,5,,,5,,,3,,,1,,4,,,,,,,,,,,2,,1,,,,,3,2,,,,5,2,0,4,4,3,2,4,5,3,2,0.86768937722,6,6,2,2,3,2
1,3,1,4,2,1,2,,2,4,6,2,4,,1,2,1,,,,,,,3,1,9,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,,,,1,,5,,4,,2,4,,2,3,1,23,11,3,5,,5,,4,5,4,5,2,,,,1,4,,1,,,6,,2,,,,5,5,,,1,,2,1,1,2,,,1,1,2,,2,,3,,,2,2,,2,,2,2,,,,2,,,2,,,,2,,2,3,3,,,2,,,1,,3,,,1,,,,,3,,88,3,4,3,4,88,1,,,,1,1,1,1,5,1,1,1,,,1,,1,1,,,1,,,,1,,3,5,1,,,,,1,,5,,,1,4,,1,3,,,4,,,,,,,,,,,,1,,5,,,5,,2,,,2,5,2,0,3,4,3,7,11,4,3,2,0.969157174301,4,5,3,2,3,2
1,4,4,17,,,2,3,,2,4,5,3,,2,2,1,,,,,,,2,1,10,8,10,3,0,7,2,9,0,2,0,5,5,10,5,8,6,9,7,0,,,,,,,,,,,,,,,,,,,,,1,21,2,2,4,4,,5,,3,5,3,5,5,,5,,4,5,,1,,,,,,1,,3,3,4,,,,1,1,2,2,1,,,2,3,2,,,1,,1,,1,1,,,,,,3,,,,,,,1,,,,1,1,3,3,,,,3,,,,2,,,,,3,,,,1,2,88,88,2,4,1,2,1,1,,,,,4,1,2,3,,4,,,88,,,4,,1,,4,,,2,1,4,1,,1,1,,4,,,,,,88,,1,,,2,10,11,8,8,8,9,10,11,11,9,2,,1,,,2,,,1,,,,4,2,0,3,7,6,3,6,8,1,4,0.693619356427,6,6,1,2,2,2
3,8,5,5,2,2,2,2,,2,2,3,4,,3,2,1,,,,,,,2,2,9,,,,,,,,,,,,,,,,,,,,,3,2,2,3,,,,3,3,,4,,4,3,,,,3,3,1,8,8,3,3,,,4,4,5,3,3,3,,1,1,,5,1,,,2,,,,,,5,5,5,,1,,,2,1,1,2,,2,,1,2,,,,2,,2,,2,2,,2,,,,,2,,,2,,,,2,,,2,3,3,,2,,,,1,3,,,1,,,,,3,,,2,2,2,2,2,4,1,,,,3,1,1,1,3,4,1,3,1,1,,,3,,,,1,,1,1,,,3,3,2,,2,5,1,,1,,,1,,,1,,,5,,3,,,,,,,,,,,1,,5,,,,,1,,,1,,4,1,2,4,5,4,7,11,5,3,2,0.767630102057,3,4,2,2,3,2
1,1,1,5,2,3,3,,3,1,1,3,3,,2,4,3,,,,,,,3,2,8,,,,,,,,,,,,,,,,,,,,6,4,3,2,2,5,,,,3,3,4,,,,,1,,1,4,3,13,13,2,6,6,4,,,3,2,5,3,,,,5,3,,3,,,,3,,3,,,5,5,,,,3,3,5,2,2,,,,2,1,,,88,,88,,1,1,,1,,1,,88,,,,88,,,1,,,,88,88,88,88,,,,88,,88,,,,,,2,3,,,,2,2,3,4,4,88,4,1,,,,4,4,2,1,5,5,1,88,,,,88,5,,5,,3,,,,,1,2,3,3,,,,,1,,,3,,1,,,5,,3,5,4,6,6,6,6,4,1,6,7,8,8,,4,,,4,,88,,,,2,2,3,2,0,1,1,1,4,4,1,2,3,1.26902359397,4,5,3,3,4,1
1,1,1,17,,,5,3,,1,4,5,3,,3,2,2,,,,,,,3,1,9,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,,1,,,1,,1,1,1,1,1,9,9,3,4,,,6,3,1,1,3,4,,5,5,,1,5,,,4,,,,,,1,1,1,,5,,,2,5,2,1,,1,,2,1,,,,1,,3,,3,3,,1,,,,,88,,,88,,,,88,,,88,1,3,,3,,,,3,3,,,3,,,,,3,,,2,2,3,2,2,88,1,,,,1,1,2,2,3,1,5,88,88,3,,,88,,,,5,,5,5,,,2,2,4,,4,1,1,,1,,,5,,,5,,,1,,3,,,,,,,,,,,2,,1,,,,,88,,,1,,5,2,0,1,2,2,2,4,4,2,4,0.707401540421,6,6,1,1,1,2
8,8,8,17,,,1,1,,3,1,5,5,,3,1,1,,,,,,,4,2,9,,,,,,,,,,,,,,,,,,,,,,1,3,5,3,3,,,2,3,3,,,,,4,,2,1,2,5,3,3,3,,,3,3,5,4,4,1,,2,2,,4,1,,,2,,,,,,1,4,5,,1,,,1,1,1,2,,2,,1,2,,,,3,,2,,2,2,,2,,,,,3,,,2,,,,2,,,2,3,3,,3,,,,1,2,,,1,,,,,2,,,88,2,3,88,3,4,2,,,,3,2,2,1,2,4,3,3,2,2,,,2,,,,1,,5,1,,,2,1,2,,2,5,1,,5,,,3,,,3,,,2,,2,,,,,,,,,,,1,,4,,,,,1,1,,,,5,2,0,2,4,3,2,4,5,3,2,0.835516240386,6,6,2,2,3,2
1,6,5,17,,,3,,2,2,2,1,3,,3,3,4,1,1,,1,1,1,3,1,9,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,,,,2,6,4,,,6,,,6,4,5,2,1,4,4,4,,3,,6,2,2,4,4,,,,2,3,,2,,,3,,6,,,,3,5,,,1,,2,5,2,2,,,1,2,3,,3,,3,,,3,3,,3,,3,3,,,,3,,,3,,,,3,,1,2,3,,,88,,,1,,88,,,88,,,,,3,,2,3,3,88,3,88,1,,,,2,1,1,88,2,2,5,2,,,3,,88,88,,,1,,,,4,,2,4,2,,,,,2,,5,,,5,4,,88,1,,,2,,,,,,,,,,,,2,,5,,,2,,1,,,3,3,2,0,3,5,4,3,3,8,1,3,0.593641522596,6,6,1,1,1,2
4,7,2,3,1,1,3,,4,4,4,4,3,,2,3,4,1,,1,1,1,1,4,2,6,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,4,,,2,2,2,,,,3,,,1,1,1,8,17,3,5,,4,,5,2,1,3,4,,,,3,3,,1,,,5,,4,,,,1,5,,,1,,2,1,2,1,,,1,2,2,,2,,1,,,2,1,,1,,1,2,,,,2,,,1,,,,2,,1,2,3,,,1,,,3,,3,,,1,,,,,3,,1,4,3,3,4,4,1,,,,3,1,1,1,5,1,5,1,,,2,,1,4,,,4,,,,5,,1,3,3,,,,,1,,2,,,5,5,,5,2,,,4,,,,,,,,,,,,2,,5,,,1,,,,3,1,5,2,0,5,6,5,4,5,4,3,2,0.831361401258,3,4,2,2,3,1
8,2,2,17,,,2,3,,2,3,2,3,,2,3,2,,,,,,,4,1,3,3,2,3,2,0,2,1,1,5,4,0,0,2,1,2,4,1,5,4,,,,,,,,,,,,,,,,,,,,,2,8,8,4,4,3,,3,,4,4,3,4,2,,2,,6,2,,3,,,,,,4,,2,3,5,,,,2,1,2,1,2,,,1,2,1,,,3,,3,,3,3,,,,,,2,,,,,,,1,,,,1,3,3,3,,,,2,,,,2,,,,,1,,,,1,2,3,3,2,3,1,3,1,1,,,,,4,2,88,88,,88,,,1,,,1,,88,,3,,,3,1,3,2,,4,1,,88,,,,,,5,,88,,,3,9,10,7,6,8,4,4,7,7,9,1,,2,,,2,,,1,,,,6,1,1,3,5,4,1,3,7,1,4,0.593641522596,6,6,2,2,3,2
1,1,1,6,,3,3,,4,2,2,4,3,,2,4,1,,,,,,,2,1,7,,,,,,,,,,,,,,,,,,,,,2,2,4,4,,4,,,3,,4,2,,2,,,5,2,2,2,8,8,4,4,6,3,,,5,5,5,1,,,,3,5,,1,,,,1,,6,,,4,5,,,,2,2,6,1,2,,,,1,2,,,2,,3,,2,2,,2,,88,,2,,,,2,,,2,,,,2,2,3,1,,,,3,,2,,,,,,2,88,,,,1,2,3,3,3,3,4,3,,,,,,,,3,5,1,88,,,,5,5,,88,,1,,,,,1,1,2,1,,,,,1,,,1,,1,,,1,,2,2,3,9,10,6,9,8,2,6,8,7,9,,1,,,4,,2,,,1,,3,4,1,2,1,7,6,11,11,4,3,2,1.31867400733,3,4,2,2,3,2
3,1,1,6,,1,1,1,,1,3,1,5,,3,1,1,,,,,,,3,1,11,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,2,1,2,,1,,1,1,,,,3,1,1,2,13,3,4,,,2,6,1,5,4,4,,5,5,,1,4,,,2,,,,,,1,1,1,,5,,,1,5,2,1,,1,,2,1,,,,1,,1,,1,1,,1,,,,,1,,,1,,,,1,,,3,2,2,,2,,,,3,2,,,3,,,,,2,,,88,2,88,88,88,88,2,,,,3,1,3,3,2,1,5,88,1,1,,,5,,,,4,,5,5,,,2,1,3,,5,1,2,,1,,,1,,,5,,,1,,2,,,,,,,,,,,1,,5,,,,,5,2,,,,4,2,0,1,7,6,7,11,5,3,2,0.717565828023,6,6,3,1,1,2
1,5,5,17,,,1,1,,1,1,1,5,,3,1,1,,,,,,,2,1,10,,,,,,,,,,,,,,,,,,,,,,3,2,4,,2,,,2,3,4,,,,2,,3,3,3,1,8,1,1,3,,,3,3,5,4,3,2,,2,2,,4,3,,,2,,,,,,4,5,5,,1,,,3,2,1,2,,2,,1,2,,,,3,,2,,2,2,,2,,,,,3,,,3,,,,2,,,2,3,3,,3,,,,1,3,,,1,,,,,3,,,2,3,2,2,3,4,1,,,,2,2,2,2,4,2,2,3,1,4,,,3,,,,1,,2,1,,,1,3,2,,4,1,1,,4,,,3,,,2,,,2,,4,,,,,,,,,,,1,,2,,,,,3,,,4,,5,2,0,3,4,3,2,6,4,3,2,0.888569278296,5,5,1,2,3,2
1,1,1,17,,,1,1,,2,3,1,4,,3,2,1,,,,,,,2,1,11,6,9,3,0,8,1,2,0,3,0,7,7,4,3,10,1,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,2,3,4,4,,2,,1,1,4,5,5,,5,,2,5,,2,,,,,,1,,1,2,4,,,,4,5,2,1,1,,,2,1,1,,,1,,3,,1,1,,,,,,3,,,,,,,3,,,,2,3,3,2,,,,3,,,,3,,,,,1,,,,1,3,3,3,4,4,1,1,2,3,,,,,2,1,5,5,,5,,,3,,,5,,1,,5,,,2,1,2,3,,2,2,,3,,,,,,5,,1,,,2,11,11,8,8,10,9,6,9,10,11,1,,4,,,1,,,2,,,,5,2,0,1,7,6,8,8,5,3,4,0.717565828023,5,6,1,1,1,2
1,2,3,3,2,1,3,,2,1,4,5,2,4,2,4,3,,,,,,,3,1,7,,,,,,,,,,,,,,,,,,,,,5,3,5,4,,1,,,1,1,3,,,,4,1,,1,4,1,1,1,1,2,3,1,,,1,4,5,5,,,,3,2,,2,,,,6,,1,,,1,1,,,,5,1,3,3,1,,,,2,1,,,1,,1,,1,1,,1,,1,,1,,,,1,,,1,,,,1,1,3,3,,,,2,,3,,,,,,1,2,,,,3,1,4,4,4,4,88,1,,,,1,1,1,3,3,1,5,3,,,,5,5,,88,,4,,,,,5,1,1,4,,,,,1,,,88,,5,,,5,,5,5,2,11,8,6,6,10,11,6,11,11,11,,4,,,3,,2,,1,,,3,4,1,2,4,4,3,12,12,5,1,3,1.04546322701,2,3,1,1,1,1
1,5,5,5,1,1,1,2,,2,2,1,3,,2,2,1,,,,,,,2,1,8,2,4,8,7,3,8,5,4,6,7,1,1,0,7,2,8,5,6,7,,,,,,,,,,,,,,,,,,,,,1,3,5,4,4,2,,6,,5,3,4,4,3,,2,,5,4,,4,,,,,,5,,1,3,4,,,,3,1,3,2,2,,,88,2,2,,,3,,88,,88,1,,,,,,3,,,,,,,88,,,,2,88,2,2,,,,88,,,,1,,,,,88,,,,1,2,88,88,2,88,1,3,2,1,,,,,3,88,2,1,,2,,,88,,,3,,2,,2,,,1,2,2,2,,1,4,,3,,,,,,2,,2,,,2,8,9,9,9,10,7,8,7,9,9,2,,88,,,2,,,,1,,,3,2,0,4,7,6,6,6,7,3,2,1.22650357389,1,2,2,2,3,2
2,5,2,15,,,2,3,,3,3,3,1,2,1,4,3,,,,,,,5,2,5,,,,,,,,,,,,,,,,,,,,5,2,1,4,2,,2,,2,1,,4,,,,,,,1,1,1,8,8,4,5,,,1,2,4,5,3,5,,2,3,,3,3,,,3,,,,,,3,2,3,,1,,,1,2,2,2,,2,,1,2,,,,2,,2,,2,2,,2,,,,,2,,,2,,,,2,,,2,3,3,,2,,,,1,3,,,3,,,,,2,,,88,2,3,3,3,4,2,,,,3,1,1,1,5,2,1,1,1,1,,,1,,,,1,,5,1,,,2,3,1,,1,1,1,,5,,,1,,,1,,,1,,4,,,,,,,,,,,1,,1,,,,,3,,,3,,5,2,0,3,3,2,5,7,5,3,2,0.745810302285,4,5,2,2,3,2
1,2,3,3,2,1,4,4,,4,4,4,2,2,2,4,4,2,1,,1,1,2,3,2,8,10,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,3,13,14,2,2,4,,4,,3,3,3,3,3,,3,,3,3,,3,,,,,,3,,3,3,3,,,,3,3,88,88,88,,,88,88,88,,,88,,88,,88,88,,,,,,88,,,,,,,88,,,,3,88,88,88,,,,88,,,,88,,,,,88,,,,3,3,3,3,3,3,3,,,,,,,,88,88,88,88,,88,,,88,,,88,,88,,88,,,88,99,3,3,,3,3,,3,,,,,,3,,3,,,88,12,12,12,12,12,12,12,12,12,12,88,,88,,,88,,,,4,,,5,2,0,4,5,4,13,12,4,1,4,0.698460319367,2,3,3,3,4,1
1,2,2,1,2,4,4,,4,3,2,3,2,2,2,5,3,,,,,,,4,2,6,,,,,,,,,,,,,,,,,,,,,,2,4,4,,,,,2,,1,1,3,1,2,3,,3,1,1,9,7,5,5,2,1,,,2,2,3,2,,,,2,3,,2,,,,2,,1,,,1,2,,,,2,2,2,2,1,,,,1,1,,,1,,1,,1,1,,1,,1,,1,,,,1,,,1,,,,1,1,2,2,,,,3,,2,,,,,,3,2,,,,2,2,2,2,2,2,3,2,,,,2,2,2,3,3,2,2,2,,,,5,3,,2,,2,,,,,2,2,4,2,,,,,3,,,2,,2,,,2,,3,2,2,8,6,8,9,8,9,7,6,5,6,,5,,,5,,1,,1,,,2,4,1,3,4,3,2,7,7,5,3,3,0.804531262871,2,3,2,1,1,1
3,1,1,8,1,2,6,,6,6,6,6,6,,5,7,5,,,,,,,3,3,9,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,,,,6,,6,,6,,,6,,6,6,3,13,2,6,6,6,6,,,6,6,6,6,,,,6,6,,6,,,,6,,6,,,6,6,,,,6,6,6,88,88,,,,88,88,,,88,,88,,88,88,,88,,88,,88,,,,88,,,88,,,,88,88,88,88,,,,88,,88,,,,,,88,88,,,,88,88,88,88,88,88,88,88,,,,,,,,88,88,88,88,,,,88,88,,88,,88,,,,,88,88,99,3,,,,,88,,,88,,88,,,88,,88,88,88,12,12,12,12,12,12,12,12,12,12,,88,,,88,,88,,1,,,3,4,1,1,2,6,5,12,12,5,3,3,0.815641966218,2,2,1,3,4,1
1,5,8,17,,,2,,3,4,4,5,4,,3,3,1,,,,,,,4,1,7,,,,,,,,,,,,,,,,,,,,4,3,3,2,4,,3,,,3,3,3,,,,3,,,3,3,2,11,3,4,3,2,4,,,2,2,3,4,,,,2,6,,2,,,,2,,2,,,2,6,,,,3,3,6,2,2,,,,2,2,,,3,,1,,3,3,,88,,1,,3,,,,2,,,88,,,,2,2,3,3,,,,88,,2,,,,,,88,1,,,,88,2,3,3,3,3,4,1,,,,2,2,3,2,2,2,3,88,,,,2,3,,2,,3,,,,,88,1,2,3,,,,,3,,,2,,4,,,88,,3,88,3,9,9,6,5,6,6,6,6,6,6,,1,,,2,,1,,1,,,2,3,2,0,3,6,5,3,3,7,1,4,0.823732373528,5,6,2,3,4,1
1,3,2,14,,,6,3,,6,6,6,3,,5,4,3,,,,,,,3,2,10,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,3,13,13,6,6,3,,3,,6,6,6,6,6,,6,,6,6,,6,,,,,,6,,2,3,4,,,,6,6,88,88,88,,,88,88,88,,,88,,88,,88,88,,,,,,88,,,,,,,88,,,,88,3,88,88,,,,1,,,,1,,,,,1,,,,88,88,88,88,88,88,88,,,,,,,,88,88,88,88,,88,,,88,,,88,,88,,88,,,88,99,1,88,,88,88,,88,,,,,,88,,88,,,88,11,10,12,12,12,12,12,12,12,12,88,,88,,,2,,,1,,,,5,2,0,3,6,5,12,13,4,1,4,0.897015603304,1,2,3,3,4,1
